<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCNY;60;20220902;140000;6.9064000;6.9070000;6.9055000;6.9064000;141
USDCNY;60;20220902;150000;6.9064000;6.9090000;6.9064000;6.9064000;135
USDCNY;60;20220902;160000;6.9064000;6.9082000;6.9030000;6.9040000;80
USDCNY;60;20220902;170000;6.9038000;6.9038000;6.9001000;6.9015000;38
USDCNY;60;20220902;180000;6.9015000;6.9015000;6.8991000;6.8991000;19
USDCNY;60;20220902;190000;6.8985000;6.8985000;6.8985000;6.8985000;5
USDCNY;60;20220902;210000;6.8985000;6.8985000;6.8985000;6.8985000;6
USDCNY;60;20220902;220000;6.8985000;6.8985000;6.8985000;6.8985000;5
USDCNY;60;20220902;230000;6.8985000;6.8985000;6.8985000;6.8985000;3
USDCNY;60;20220903;000000;6.8985000;6.8985000;6.8985000;6.8985000;3
USDCNY;60;20220905;010000;6.8985000;6.8999000;6.8985000;6.8999000;3
USDCNY;60;20220905;040000;6.8985000;6.8985000;6.8985000;6.8985000;5
USDCNY;60;20220905;050000;6.9160000;6.9230000;6.9160000;6.9214000;87
USDCNY;60;20220905;060000;6.9211000;6.9339000;6.9207000;6.9298000;214
USDCNY;60;20220905;070000;6.9297000;6.9313000;6.9277000;6.9312000;217
USDCNY;60;20220905;080000;6.9303000;6.9331000;6.9303000;6.9326000;219
USDCNY;60;20220905;090000;6.9326000;6.9393000;6.9326000;6.9377000;274
USDCNY;60;20220905;100000;6.9377000;6.9382000;6.9295000;6.9306000;305
USDCNY;60;20220905;110000;6.9307000;6.9430000;6.9306000;6.9422000;289
USDCNY;60;20220905;120000;6.9423000;6.9423000;6.9370000;6.9402000;296
USDCNY;60;20220905;130000;6.9405000;6.9406000;6.9310000;6.9312000;232
USDCNY;60;20220905;140000;6.9319000;6.9337000;6.9308000;6.9316000;196
USDCNY;60;20220905;150000;6.9316000;6.9329000;6.9312000;6.9316000;149
USDCNY;60;20220905;160000;6.9316000;6.9321000;6.9316000;6.9320000;61
USDCNY;60;20220905;170000;6.9321000;6.9331000;6.9320000;6.9330000;34
USDCNY;60;20220905;180000;6.9330000;6.9335000;6.9325000;6.9325000;9
USDCNY;60;20220905;190000;6.9325000;6.9328000;6.9320000;6.9328000;17
USDCNY;60;20220905;200000;6.9322000;6.9322000;6.9322000;6.9322000;1
USDCNY;60;20220906;010000;6.9328000;6.9340000;6.9328000;6.9340000;11
USDCNY;60;20220906;050000;6.9339000;6.9361000;6.9296000;6.9314000;99
USDCNY;60;20220906;060000;6.9309000;6.9376000;6.9305000;6.9360000;167
USDCNY;60;20220906;070000;6.9357000;6.9410000;6.9357000;6.9395000;196
USDCNY;60;20220906;080000;6.9395000;6.9409000;6.9395000;6.9408000;202
USDCNY;60;20220906;090000;6.9408000;6.9410000;6.9373000;6.9400000;258
USDCNY;60;20220906;100000;6.9400000;6.9428000;6.9377000;6.9385000;297
USDCNY;60;20220906;110000;6.9386000;6.9450000;6.9385000;6.9432000;319
USDCNY;60;20220906;120000;6.9431000;6.9535000;6.9431000;6.9525000;316
USDCNY;60;20220906;130000;6.9525000;6.9645000;6.9525000;6.9591000;293
USDCNY;60;20220906;140000;6.9591000;6.9591000;6.9578000;6.9585000;197
USDCNY;60;20220906;150000;6.9585000;6.9601000;6.9581000;6.9601000;187
USDCNY;60;20220906;160000;6.9601000;6.9601000;6.9568000;6.9580000;76
USDCNY;60;20220906;170000;6.9585000;6.9620000;6.9584000;6.9604000;95
USDCNY;60;20220906;180000;6.9606000;6.9640000;6.9549000;6.9549000;95
USDCNY;60;20220906;190000;6.9554000;6.9556000;6.9526000;6.9532000;55
USDCNY;60;20220906;200000;6.9532000;6.9532000;6.9532000;6.9532000;1
USDCNY;60;20220906;210000;6.9532000;6.9532000;6.9532000;6.9532000;2
USDCNY;60;20220907;000000;6.9532000;6.9532000;6.9532000;6.9532000;4
USDCNY;60;20220907;010000;6.9532000;6.9544000;6.9532000;6.9544000;9
USDCNY;60;20220907;040000;6.9532000;6.9532000;6.9532000;6.9532000;1
USDCNY;60;20220907;050000;6.9600000;6.9701000;6.9600000;6.9673000;117
USDCNY;60;20220907;060000;6.9680000;6.9750000;6.9673000;6.9743000;193
USDCNY;60;20220907;070000;6.9742000;6.9799000;6.9739000;6.9766000;247
USDCNY;60;20220907;080000;6.9767000;6.9779000;6.9739000;6.9745000;243
USDCNY;60;20220907;090000;6.9745000;6.9750000;6.9698000;6.9698000;267
USDCNY;60;20220907;100000;6.9695000;6.9722000;6.9635000;6.9662000;328
USDCNY;60;20220907;110000;6.9663000;6.9740000;6.9660000;6.9663000;325
USDCNY;60;20220907;120000;6.9663000;6.9755000;6.9645000;6.9753000;336
USDCNY;60;20220907;130000;6.9753000;6.9790000;6.9725000;6.9738000;257
USDCNY;60;20220907;140000;6.9738000;6.9780000;6.9738000;6.9779000;186
USDCNY;60;20220907;150000;6.9779000;6.9781000;6.9759000;6.9766000;154
USDCNY;60;20220907;160000;6.9766000;6.9766000;6.9749000;6.9749000;64
USDCNY;60;20220907;170000;6.9749000;6.9750000;6.9701000;6.9701000;39
USDCNY;60;20220907;180000;6.9702000;6.9702000;6.9650000;6.9650000;46
USDCNY;60;20220907;190000;6.9651000;6.9652000;6.9631000;6.9650000;49
USDCNY;60;20220907;200000;6.9650000;6.9650000;6.9650000;6.9650000;1
USDCNY;60;20220907;210000;6.9650000;6.9650000;6.9650000;6.9650000;2
USDCNY;60;20220907;220000;6.9650000;6.9650000;6.9650000;6.9650000;1
USDCNY;60;20220908;000000;6.9650000;6.9650000;6.9650000;6.9650000;2
USDCNY;60;20220908;010000;6.9650000;6.9661000;6.9650000;6.9661000;6
USDCNY;60;20220908;050000;6.9550000;6.9674000;6.9538000;6.9673000;134
USDCNY;60;20220908;060000;6.9672000;6.9690000;6.9649000;6.9675000;158
USDCNY;60;20220908;070000;6.9677000;6.9688000;6.9633000;6.9657000;223
USDCNY;60;20220908;080000;6.9659000;6.9660000;6.9612000;6.9631000;249
USDCNY;60;20220908;090000;6.9626000;6.9657000;6.9600000;6.9636000;311
USDCNY;60;20220908;100000;6.9640000;6.9642000;6.9521000;6.9555000;346
USDCNY;60;20220908;110000;6.9556000;6.9649000;6.9533000;6.9629000;353
USDCNY;60;20220908;120000;6.9629000;6.9641000;6.9568000;6.9588000;340
USDCNY;60;20220908;130000;6.9588000;6.9594000;6.9546000;6.9572000;255
USDCNY;60;20220908;140000;6.9576000;6.9578000;6.9526000;6.9526000;185
USDCNY;60;20220908;150000;6.9544000;6.9545000;6.9478000;6.9478000;200
USDCNY;60;20220908;160000;6.9502000;6.9540000;6.9476000;6.9540000;115
USDCNY;60;20220908;170000;6.9560000;6.9579000;6.9538000;6.9550000;60
USDCNY;60;20220908;180000;6.9550000;6.9566000;6.9550000;6.9558000;37
USDCNY;60;20220908;190000;6.9557000;6.9566000;6.9557000;6.9562000;14
USDCNY;60;20220908;200000;6.9562000;6.9562000;6.9562000;6.9562000;3
USDCNY;60;20220908;210000;6.9562000;6.9562000;6.9562000;6.9562000;1
USDCNY;60;20220908;220000;6.9562000;6.9562000;6.9562000;6.9562000;2
USDCNY;60;20220908;230000;6.9562000;6.9562000;6.9562000;6.9562000;3
USDCNY;60;20220909;000000;6.9562000;6.9562000;6.9562000;6.9562000;1
USDCNY;60;20220909;010000;6.9562000;6.9575000;6.9562000;6.9575000;4
USDCNY;60;20220909;020000;6.9562000;6.9562000;6.9562000;6.9562000;1
