<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDNOK;60;20221010;070000;10.7080000;10.7313000;10.7010000;10.7197800;141743
USDNOK;60;20221010;080000;10.7191600;10.7312000;10.7100000;10.7202000;114504
USDNOK;60;20221010;090000;10.7201000;10.7559500;10.7119000;10.7441500;193004
USDNOK;60;20221010;100000;10.7415000;10.7534000;10.7071200;10.7464100;179196
USDNOK;60;20221010;110000;10.7466800;10.7622100;10.7072000;10.7272500;245821
USDNOK;60;20221010;120000;10.7263000;10.7608600;10.6899500;10.6985000;172413
USDNOK;60;20221010;130000;10.6984000;10.7018600;10.6533200;10.6575000;175723
USDNOK;60;20221010;140000;10.6574000;10.7020200;10.6534000;10.6823400;143306
USDNOK;60;20221010;150000;10.6834000;10.6865000;10.6387000;10.6608400;176936
USDNOK;60;20221010;160000;10.6613000;10.6724100;10.6324700;10.6351000;193400
USDNOK;60;20221010;170000;10.6361300;10.6849100;10.6236500;10.6727000;244422
USDNOK;60;20221010;180000;10.6736000;10.6928600;10.5967000;10.6851000;288306
USDNOK;60;20221010;190000;10.6828000;10.7095300;10.6777900;10.6855800;231888
USDNOK;60;20221010;200000;10.6835400;10.7060000;10.6747000;10.7036000;167487
USDNOK;60;20221010;210000;10.7037000;10.7131000;10.6513000;10.6640000;182909
USDNOK;60;20221010;220000;10.6639000;10.6875900;10.6560000;10.6808000;169163
USDNOK;60;20221010;230000;10.6808000;10.6888000;10.6620000;10.6795000;133474
USDNOK;60;20221011;000000;10.6794000;10.6859000;10.6725000;10.6859000;43495
USDNOK;60;20221011;010000;10.6865000;10.6931500;10.6727100;10.6862000;9698
USDNOK;60;20221011;020000;10.6610800;10.6878000;10.6606500;10.6697700;66143
USDNOK;60;20221011;030000;10.6724800;10.6793000;10.6580000;10.6697200;112900
USDNOK;60;20221011;040000;10.6703000;10.6852000;10.6480000;10.6608300;168260
USDNOK;60;20221011;050000;10.6615000;10.6956000;10.6418000;10.6801000;206976
USDNOK;60;20221011;060000;10.6803000;10.7246000;10.6749000;10.7149000;209357
USDNOK;60;20221011;070000;10.7150000;10.7232000;10.6980000;10.7156000;176581
USDNOK;60;20221011;080000;10.7218000;10.7423400;10.7070000;10.7391000;92652
USDNOK;60;20221011;090000;10.7390800;10.7392000;10.7208000;10.7261000;140611
USDNOK;60;20221011;100000;10.7242700;10.7448000;10.6873000;10.7279000;210605
USDNOK;60;20221011;110000;10.7283000;10.7532900;10.6953300;10.7449000;269669
